Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,5.699996,2.022233,0.2964532,10,0.1105383,
1,5.719995,2.022233,0.3917414,10,,
1,5.739995,2.022233,0.539968,10,0.07102387,
1,5.759995,2.022233,0.6405509,10,,
1,5.779995,2.022233,0.7887769,10,0.1549741,
1,5.799995,2.027529,0.8787715,10,,
1,5.819995,2.053997,1.016411,10,0.214513,
1,5.839995,2.075172,1.106405,10,,
1,5.859995,2.10164,1.1964,10,,
1,5.879995,2.159873,1.323451,10,0.3171433,
1,5.899995,2.233986,1.434621,10,,
1,5.919995,2.302806,1.503441,10,0.3632722,
1,5.939995,2.371625,1.561673,10,,
1,5.959995,2.493382,1.635786,10,,
1,5.979995,2.593966,1.667549,10,0.3716988,
1,5.999995,2.747486,1.694018,10,,
1,6.019995,2.9063,1.694018,10,0.2915926,
1,6.039995,3.006882,1.683431,10,,
1,6.059995,3.107464,1.656961,10,,
1,6.079995,3.255691,1.604024,10,0.1456517,
1,6.099995,3.356273,1.551085,10,,
1,6.119995,3.488619,1.471678,10,0.04234934,
1,6.139995,3.578613,1.402858,10,,
1,6.159995,3.695077,1.302276,10,,
1,6.179995,3.816834,1.191106,10,0.2722069,
1,6.199995,3.890948,1.111699,10,,
1,6.219995,3.996823,0.9846479,10,0.4429749,
1,6.239995,4.065643,0.9105349,10,,
1,6.259995,4.155638,0.7993644,10,0.5707991,
1,6.279995,4.208576,0.7252514,10,,
1,6.299995,4.256221,0.6564319,10,0.6475338,
1,6.319995,4.319746,0.5505556,10,0.7016839,
1,6.339995,4.346215,0.4764426,10,,
1,6.359995,4.36739,0.3758603,10,0.7862871,
1,6.379995,4.372684,0.269984,10,0.8167743,
1,6.399995,4.372684,0.2170461,10,0.8035441,
1,6.419995,4.356803,0.132345,10,0.7553646,
1,6.439995,4.340922,0.0794071,10,0.7103374,
1,6.459995,4.303864,0,10,0.607866,
1,6.479995,4.277396,-0.04764438,10,0.566833,
1,6.499995,4.208576,-0.137639,10,,
1,6.519995,4.160931,-0.2011648,10,0.5886608,
1,6.539995,4.086818,-0.3070408,10,,
1,6.559995,4.039175,-0.3811541,10,,
1,6.579995,3.975648,-0.4976177,10,0.5594684,
1,6.599995,3.938592,-0.5876124,10,,
1,6.619995,3.890948,-0.7199576,10,0.5315993,
1,6.639995,3.869773,-0.8152461,10,,
1,6.659995,3.859185,-0.9475914,10,,
1,6.679995,3.859185,-1.048173,10,0.3994276,
1,6.699995,3.875067,-1.175225,10,,
1,6.719995,3.896241,-1.26522,10,,
1,6.739995,3.938592,-1.397564,10,0.2286165,
1,6.759995,3.980942,-1.482265,10,,
1,6.779994,4.060349,-1.609317,10,,
1,6.799994,4.123875,-1.68343,10,0.07486553,
1,6.819994,4.235044,-1.799894,10,,
1,6.839994,4.314452,-1.868713,10,0.2722576,
1,6.859994,4.399153,-1.937533,10,,
1,6.879994,4.547379,-2.043409,10,0.4545584,
1,6.899994,4.7009,-2.138698,10,0.5752976,
1,6.919994,4.81207,-2.207517,10,0.6291617,
1,6.939994,4.976179,-2.302805,10,0.6702263,
1,6.959994,5.087348,-2.361038,10,0.6708949,
1,6.979994,5.25675,-2.445738,10,0.6310527,
1,6.999994,5.362627,-2.498676,10,0.5770251,
1,7.019994,5.521441,-2.572789,10,0.4808059,
1,7.039994,5.627316,-2.625728,10,0.4059707,
1,7.059994,5.764956,-2.689253,10,0.330301,
1,7.079994,5.849657,-2.72631,10,0.2817674,
1,7.099994,5.96612,-2.779248,10,,
1,7.119994,6.019058,-2.805717,10,0.1620452,
1,7.139994,6.077291,-2.83748,10,,
1,7.159994,6.093172,-2.853361,10,,
1,7.179994,6.098465,-2.86395,10,,
1,7.199994,6.103759,-2.86395,10,,
1,7.219994,6.109054,-2.869243,10,,
1,7.239994,6.109054,-2.869243,10,,
1,7.259994,6.114347,-2.869243,10,,
1,7.279994,6.124935,-2.869243,10,,
1,7.299994,6.156699,-2.858655,10,,
1,7.319994,6.183166,-2.848068,10,0.04793726,
1,7.339994,6.241398,-2.826892,10,,
1,7.359994,6.283749,-2.800423,10,0.05213732,
1,7.379994,6.331394,-2.763367,10,,
1,7.399994,6.352568,-2.731604,10,,
1,7.419994,6.357862,-2.699841,10,0.04031542,
1,7.439994,6.357862,-2.636315,10,,
1,7.459994,6.34198,-2.593965,10,0.04522947,
1,7.479994,6.278454,-2.519852,10,0.03348039,
1,7.499994,6.183166,-2.456326,10,,
1,7.519994,6.109054,-2.413975,10,0.01497157,
1,7.539994,6.029645,-2.376919,10,0.06035905,
1,7.559994,5.8973,-2.318687,10,,
1,7.579994,5.807305,-2.281631,10,0.06737865,
1,7.599994,5.680255,-2.228692,10,,
1,7.619994,5.558496,-2.175754,10,0.01674061,
1,7.639994,5.47909,-2.149285,10,,
1,7.659994,5.394389,-2.117522,10,0.1385517,
1,7.679994,5.267337,-2.080466,10,,
1,7.699994,5.11911,-2.048703,10,0.09528828,
1,7.719994,5.013235,-2.032821,10,,
1,7.739994,4.843833,-2.01694,10,,
1,7.759994,4.711487,-2.01694,10,0.09543544,
1,7.779994,4.568555,-2.01694,10,,
1,7.799994,4.340922,-2.01694,10,0.1091342,
1,7.819993,4.1027,-2.01694,10,0.2340077,
1,7.839993,3.933299,-2.01694,10,,
1,7.859993,3.663314,-2.01694,10,0.238457,
1,7.879993,3.493912,-2.011646,10,,
1,7.899993,3.250397,-1.985177,10,0.2913515,
1,7.919993,3.086289,-1.958708,10,,
1,7.939993,2.853362,-1.900476,10,0.2870881,
1,7.959993,2.705135,-1.852832,10,,
1,7.979993,2.488089,-1.768131,10,0.2378095,
1,7.999993,2.355744,-1.699311,10,0.2460909,
1,8.019994,2.212811,-1.619904,10,,
1,8.039994,1.979884,-1.48756,10,0.2286173,
1,8.059995,1.757544,-1.328745,10,,
1,8.079995,1.625198,-1.222869,10,0.06374517,
1,8.099996,1.46109,-1.058761,10,,
1,8.119996,1.355214,-0.93171,10,0.2108229,
1,8.139997,1.259926,-0.7993647,10,,
