Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
5,13.10011,-1.26812,-0.4095551,10,0,3,10,5
5,13.12011,-1.324987,-0.398179,10,0.1680579,3,10,5
5,13.14011,-1.427346,-0.3868017,10,0,3,10,5
5,13.16011,-1.461466,-0.3868017,10,0,3,10,5
5,13.18011,-1.518332,-0.3868017,10,0,3,10,5
5,13.20011,-1.552452,-0.3868017,10,0,3,10,5
5,13.22011,-1.620692,-0.3868017,10,0,3,10,5
5,13.24011,-1.666185,-0.3868017,10,0.3708951,3,10,5
5,13.26011,-1.768544,-0.3868017,10,0,3,10,5
5,13.28011,-1.836784,-0.3868017,10,0,3,10,5
5,13.30011,-1.92777,-0.3868017,10,0,3,10,5
5,13.32012,-1.984637,-0.3754255,10,0,3,10,5
5,13.34012,-2.052876,-0.3640494,10,0,3,10,5
5,13.36012,-2.086996,-0.352672,10,0.6712514,3,10,5
5,13.38012,-2.109743,-0.3412959,10,0,3,10,5
5,13.40012,-2.121116,-0.3299198,10,0,3,10,5
5,13.42012,-2.143862,-0.3071663,10,0,3,10,5
5,13.44012,-2.155236,-0.2616602,10,0,3,10,5
5,13.46012,-2.189356,-0.1820236,10,0,3,10,5
5,13.48012,-2.200729,-0.102388,10,0.6294621,3,10,5
5,13.50012,-2.212102,0.02275467,10,0,3,10,5
5,13.52012,-2.223475,0.1365197,10,0.53182,3,10,5
5,13.54012,-2.223475,0.2957922,10,0,3,10,5
5,13.56012,-2.223475,0.4323107,10,0.4187029,3,10,5
5,13.58012,-2.223475,0.5574524,10,0.4061517,3,10,5
5,13.60012,-2.223475,0.6484652,10,0,3,10,5
5,13.62012,-2.200729,0.750854,10,0,3,10,5
5,13.64012,-2.189356,0.8191139,10,0.4063096,3,10,5
5,13.66012,-2.166609,0.8987492,10,0,3,10,5
5,13.68012,-2.155236,0.9442562,10,0,3,10,5
5,13.70012,-2.121116,1.012515,10,0.4294154,3,10,5
5,13.72012,-2.09837,1.069398,10,0,3,10,5
5,13.74012,-2.075623,1.114905,10,0,3,10,5
5,13.76013,-2.018757,1.240046,10,0.4761695,3,10,5
5,13.78013,-1.973264,1.319683,10,0.4939186,3,10,5
5,13.80013,-1.916397,1.410695,10,0,3,10,5
5,13.82013,-1.859531,1.535838,10,0.5404733,3,10,5
5,13.84013,-1.791291,1.66098,10,0,3,10,5
5,13.86013,-1.711678,1.786121,10,0.5887221,3,10,5
5,13.88013,-1.632065,1.911264,10,0,3,10,5
5,13.90013,-1.529706,2.047783,10,0.6213742,3,10,5
5,13.92013,-1.438719,2.161548,10,0.622986,3,10,5
5,13.94013,-1.347733,2.275314,10,0,3,10,5
5,13.96013,-1.290867,2.35495,10,0.6197018,3,10,5
5,13.98013,-1.177134,2.480093,10,0.5980394,3,10,5
5,14.00013,-1.108894,2.559729,10,0,3,10,5
5,14.02013,-0.9155483,2.696247,10,0.4525584,3,10,5
5,14.04013,-0.8131886,2.764506,10,0,3,10,5
5,14.06013,-0.6539633,2.855519,10,0.2611944,3,10,5
5,14.08013,-0.5743497,2.901025,10,0,3,10,5
5,14.10013,-0.4947374,2.946531,10,0,3,10,5
5,14.12013,-0.4037508,2.992038,10,0.1029936,3,10,5
5,14.14013,-0.2900187,3.026168,10,0,3,10,5
5,14.16013,-0.2445254,3.04892,10,0,3,10,5
5,14.18013,-0.1762861,3.08305,10,0,3,10,5
5,14.20014,-0.1535394,3.094427,10,0,3,10,5
5,14.22014,-0.1080461,3.128557,10,0,3,10,5
5,14.24014,-0.07392646,3.151309,10,0.252422,3,10,5
5,14.26014,0.005687688,3.208193,10,0,3,10,5
5,14.28014,0.07392704,3.276452,10,0,3,10,5
5,14.30014,0.0966731,3.299205,10,0,3,10,5
5,14.32014,0.1649124,3.401594,10,0.4144334,3,10,5
5,14.34014,0.1990327,3.48123,10,0,3,10,5
5,14.36014,0.2217788,3.549489,10,0,3,10,5
5,14.38014,0.2331518,3.606372,10,0.4383662,3,10,5
5,14.40014,0.2331518,3.640502,10,0,3,10,5
5,14.42014,0.2331518,3.674632,10,0,3,10,5
5,14.44014,0.2331518,3.708761,10,0,3,10,5
5,14.46014,0.2331518,3.720138,10,0,3,10,5
5,14.48014,0.2331518,3.720138,10,0,3,10,5
5,14.50014,0.2331518,3.720138,10,0,3,10,5
5,14.52014,0.2331518,3.720138,10,0,3,10,5
5,14.54014,0.2331518,3.731514,10,0.4071844,3,10,5
5,14.56014,0.2331518,3.74289,10,0,3,10,5
5,14.58014,0.2331518,3.765643,10,0.3898956,3,10,5
5,14.60014,0.2331518,3.77702,10,0.3304028,3,10,5
5,14.62014,0.2331518,3.77702,10,0.210312,3,10,5
5,14.64015,0.2331518,3.788397,10,0.02517781,3,10,5
5,14.66015,0.2331518,3.822527,10,0,3,10,5
5,14.68015,0.244526,3.845279,10,0,3,10,5
5,14.70015,0.244526,3.856657,10,0,3,10,5
5,14.72015,0.244526,3.868032,10,0,3,10,5
5,14.74015,0.255899,3.879409,10,0,3,10,5
5,14.76015,0.2786463,3.890786,10,0,3,10,5
5,14.78015,0.3355114,3.902162,10,0,3,10,5
5,14.80015,0.415125,3.924916,10,0,3,10,5
5,14.82015,0.5288576,3.936291,10,0,3,10,5
5,14.84015,0.6198442,3.936291,10,0.3682476,3,10,5
5,14.86015,0.8359353,3.936291,10,0,3,10,5
5,14.88015,0.9155489,3.936291,10,0,3,10,5
5,14.90015,1.108895,3.902162,10,0.6972446,3,10,5
5,14.92015,1.188507,3.879409,10,0,3,10,5
5,14.94015,1.370481,3.81115,10,0.8211931,3,10,5
5,14.96015,1.461466,3.765643,10,0,3,10,5
5,14.98015,1.5752,3.686008,10,0.889154,3,10,5
5,15.00015,1.620692,3.629125,10,0,3,10,5
5,15.02015,1.688931,3.526736,10,0,3,10,5
5,15.04015,1.757171,3.435724,10,0,3,10,5
5,15.06015,1.825411,3.310581,10,0.7944759,3,10,5
5,15.08016,1.870904,3.219568,10,0,3,10,5
5,15.10016,1.927771,3.094427,10,0,3,10,5
5,15.12016,1.96189,3.003414,10,0.6827002,3,10,5
5,15.14016,2.018756,2.832766,10,0,3,10,5
5,15.16016,2.075623,2.696247,10,0,3,10,5
5,15.18016,2.121116,2.582481,10,0.4927646,3,10,5
5,15.20016,2.166609,2.445962,10,0,3,10,5
5,15.22016,2.200729,2.343574,10,0,3,10,5
5,15.24016,2.246223,2.252561,10,0.3592222,3,10,5
5,15.26016,2.303089,2.116042,10,0,3,10,5
5,15.28016,2.337208,2.047783,10,0,3,10,5
5,15.30016,2.394074,1.979523,10,0,3,10,5
5,15.32016,2.439568,1.911264,10,0.2485371,3,10,5
5,15.34016,2.507807,1.854381,10,0,3,10,5
5,15.36016,2.5533,1.820251,10,0,3,10,5
5,15.38016,2.644287,1.751992,10,0,3,10,5
5,15.40016,2.712526,1.69511,10,0.2808101,3,10,5
5,15.42016,2.803513,1.615473,10,0,3,10,5
5,15.44016,2.860379,1.569967,10,0,3,10,5
5,15.46016,2.962739,1.501708,10,0.3268536,3,10,5
5,15.48016,3.030978,1.444824,10,0,3,10,5
5,15.50016,3.087844,1.399319,10,0,3,10,5
5,15.52017,3.121965,1.365189,10,0,3,10,5
5,15.54017,3.178831,1.29693,10,0,3,10,5
5,15.56017,3.24707,1.22867,10,0.3297493,3,10,5
5,15.58017,3.34943,1.149035,10,0,3,10,5
5,15.60017,3.394923,1.103528,10,0,3,10,5
5,15.62017,3.440417,1.046645,10,0.3782049,3,10,5
5,15.64017,3.474536,1.001138,10,0,3,10,5
5,15.66017,3.531402,0.8987492,10,0,3,10,5
5,15.68017,3.565522,0.83049,10,0,3,10,5
5,15.70017,3.645135,0.6712186,10,0.3095666,3,10,5
5,15.72017,3.679255,0.5915821,10,0,3,10,5
5,15.74017,3.770241,0.4095572,10,0.2869546,3,10,5
5,15.76017,3.804361,0.3299218,10,0.2991096,3,10,5
5,15.78017,3.861227,0.1706493,10,0,3,10,5
5,15.80017,3.883974,0.1023901,10,0.2618297,3,10,5
5,15.82017,3.90672,0.02275467,10,0,3,10,5
5,15.84017,3.94084,-0.0568822,10,0.2548137,3,10,5
5,15.86017,3.963587,-0.147894,10,0,3,10,5
5,15.88017,3.97496,-0.1820236,10,0.2592449,3,10,5
5,15.90017,3.986334,-0.2161533,10,0,3,10,5
5,15.92017,3.997707,-0.2389067,10,0,3,10,5
5,15.94018,4.00908,-0.2844128,10,0,3,10,5
5,15.96018,4.020453,-0.3640494,10,0.2729557,3,10,5
